Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,IsClosedDay,Year,Month,WeekOfYear,Day,Weekday,IsWeekend,IsMonthStart,IsMonthEnd,CompetitionOpenMonths,Promo2DurationWeeks,IsPromoMonth,SalesLag_1,SalesLag_7,SalesLag_14,SalesLag_30,SalesRollingMean_7,SalesRollingStd_7,SalesRollingMean_30,SalesRollingStd_30,SalesLog,MonthSin,MonthCos,WeekdaySin,WeekdayCos
84,6,2014-10-04,12622,1430,1,0,0,0,a,c,11810.0,8,2014,0,0,0,,False,2014,10,40,4,5,1,0,0,2,0,0,0.0,9734.0,9831.0,13834.0,10817.714285714286,7809.167725912182,10122.366666666669,5233.8356969147335,9.443275825752862,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
1013,1,2013-03-25,6443,675,1,1,0,1,a,a,630.0,2,2015,1,31,2013,"Feb,May,Aug,Nov",False,2013,3,13,25,0,0,0,0,0,0,0,0.0,7204.0,3395.0,2041.0,3950.857142857142,2311.2317371603267,3209.5666666666666,1905.272279995576,8.770904744296866,1.0,6.123233995736766e-17,0.0,1.0
803,2,2013-06-18,6884,532,1,1,0,0,d,a,1760.0,0,0,1,10,2014,"Mar,Jun,Sept,Dec",False,2013,6,25,18,1,0,0,0,0,0,1,8669.0,5134.0,6885.0,0.0,5001.571428571428,2554.0004474773086,5005.666666666667,3138.063309325249,8.837100411162755,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336
867,3,2015-06-10,3716,376,1,0,0,0,d,c,21810.0,9,2012,0,0,0,,False,2015,6,24,10,2,0,0,0,33,0,0,4136.0,5608.0,4268.0,3668.0,4421.571428571428,1214.731775213883,4235.833333333333,1448.1632381633656,8.220672170297252,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.2225209339563143
278,1,2013-08-05,10818,1169,1,0,0,0,a,c,9260.0,2,2010,0,0,0,,False,2013,8,32,5,0,0,0,0,42,0,0,0.0,11603.0,6002.0,4253.0,8176.0,4019.7583675307296,5813.533333333334,3294.882800838958,9.289059126687574,-0.8660254037844384,-0.5000000000000004,0.0,1.0
466,7,2014-12-14,0,0,0,0,0,0,a,c,3110.0,3,2003,0,0,0,,True,2014,12,50,14,6,1,0,0,141,0,0,5077.0,0.0,0.0,9353.0,6173.428571428572,2912.0097216609183,7297.666666666667,3725.921208315432,0.0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
733,2,2013-04-09,14802,3425,1,1,0,0,b,b,860.0,10,1999,0,0,0,,False,2013,4,15,9,1,0,0,0,162,0,0,15122.0,14426.0,15300.0,13748.0,13777.0,862.789661505028,14833.633333333331,1398.3136514445105,9.602585141913492,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
968,5,2013-05-31,9455,1064,1,1,0,0,c,a,1190.0,0,0,0,0,0,,False,2013,5,22,31,4,0,0,1,0,0,0,6834.0,6365.0,7797.0,0.0,5942.857142857143,3089.0632036574575,5331.5,3360.897178556286,9.15440473964588,0.4999999999999999,-0.8660254037844387,-0.433883739117558,-0.9009688679024191
861,2,2013-04-02,3431,551,1,0,0,1,c,c,740.0,0,0,1,14,2013,"Mar,Jun,Sept,Dec",False,2013,4,14,2,1,0,0,0,0,0,0,0.0,3472.0,6464.0,0.0,2233.4285714285716,2099.550257963427,1800.3,2582.792730012786,8.140898460607852,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
593,7,2013-12-01,0,0,0,0,0,0,a,c,33060.0,3,2010,0,0,0,,True,2013,12,48,1,6,1,1,0,45,0,0,11808.0,0.0,0.0,8567.0,8750.857142857143,4155.237796186539,8236.6,3674.830567053635,0.0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
